RespondentID,Which category below includes your age?,Are you male or female?,What graduate program are you pursuing?,What graduate program are you pursuing? - Other (please specify),Are you a full-time graduate student?,Are you an International Student?,In which type of housing do you currently live?,In which type of housing do you currently live? - Other (please specify),What is the size of your current household?,"In a typical month, about how much money do you spend on rent/mortgage and utilities?",Is there a need for a graduate student residence hall on Texas Tech’s campus?,"If on-campus graduate housing had been available at the time you were admitted to Texas Tech, how likely would you have been to apply to live in such housing?",What types of residence would you be interested in? (Check all that apply.) - Studio/efficiency,What types of residence would you be interested in? (Check all that apply.) - 1 bedroom apt,What types of residence would you be interested in? (Check all that apply.) - 2 bedroom apt with shared bathroom,What types of residence would you be interested in? (Check all that apply.) - 3 bedroom apt with shared bathroom,What types of residence would you be interested in? (Check all that apply.) - I am not interested in on-campus housing,What types of residence would you be interested in? (Check all that apply.) - Other (please specify),How important is each of the following for a graduate student residence hall? - Child care,How important is each of the following for a graduate student residence hall? - Playground space,How important is each of the following for a graduate student residence hall? - Entertainment spaces (e.g. movie theater),How important is each of the following for a graduate student residence hall? - Alcohol allowed inside a residence,How important is each of the following for a graduate student residence hall? - Low cost,How important is each of the following for a graduate student residence hall? - Modern appliances,How important is each of the following for a graduate student residence hall? - Minimal grocery store,How important is each of the following for a graduate student residence hall? - Optional dining plan available,How important is each of the following for a graduate student residence hall? - Other,"How important is each of the following for a graduate student residence hall? - Please specify ""Other""",How likely would you be to live in a graduate student only residence hall if Texas Tech offered one? - ,Would you expect to pay more or less for rent and utilities in a graduate student residence hall than you pay now?,Would you choose NOT to live in a graduate residence hall if the university filled open rooms with undergraduate students?,Would you choose NOT to live in a graduate residence hall if it were next to an undergraduate residence hall?,How would you usually move around campus if the graduate student residence hall were on campus but a mile or more from the Student Union Building (SUB)? ,How would you usually move around campus if the graduate student residence hall were on campus but a mile or more from the Student Union Building (SUB)?  - Other (please specify),"If a graduate student residence hall is added to Texas Tech’s campus, what suggestions would you give building planners? - Open-Ended Response"
2371515954,26 to 35,Female,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,"$800 to $1,000",Yes,Likely,Studio/efficiency,1 bedroom apt,,,I am not interested in on-campus housing,"Currently not interested, but when I first attended I would be interested in studio/1bedroom",not important,not important,not important,not important,most important,important,most important,somewhat important,important,"Graduate residence, not incorporated with undergraduates--I believe it needs to be separate, incase one teaches the students.",Unlikely,Pay less,Yes,No,Walk,,"When I first attended Tech I did not know where to live, and asked a department faculty worker, she told me where a lot of students lived, and this is where I decided to move to--without visiting.  It would have been nice to have a graduate student residence hall on campus that provided non-expensive living.  And that provides housing for a variety of life styles: singles and families.  I am not sure how this would work, but a variety of number of bedrooms in each living area would be nice.  And it would need to be separate from undergraduates, since many teach undergraduate classes it would be difficult to have undergraduate students viewing you as in charge of the class if you lived down the hall from them."
2371516462,36 to 45,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Very likely,,,,3 bedroom apt with shared bathroom,,,somewhat important,important,not important,important,most important,important,somewhat important,not important,,,Likely,Pay less,Yes,No,Walk,,"Have a separate area for family residences--wing, floor."
2371516527,21 to 25,Female,Master’s,,Yes,No,Apartment,,3 bedrooms,$400 to $600,No,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,somewhat important,most important,most important,important,not important,important,,,Neutral,Pay more,Yes,Yes,Walk,,
2371516726,21 to 25,Male,Doctoral,,Yes,No,Apartment,,1 bedroom,"$1,000 or more",Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,not important,important,important,important,important,important,,,Likely,Pay less,Yes,Yes,Bike,,1. Built in Desks  2. Ample study room  3. Private Bathrooms  4. Would need to feel like a normal apartment and not on-campus housing.
2371516784,21 to 25,Male,Master’s,,Yes,Yes,Apartment,,2 bedrooms,Less than $400,Yes,Somewhat likely,,,2 bedroom apt with shared bathroom,,,,not important,most important,most important,somewhat important,,most important,somewhat important,most important,,,Likely,Pay less,No,Yes,Car,,
2371517010,26 to 35,Female,Doctoral,,Yes,No,Duplex,,2 bedrooms,$400 to $600,No,Somewhat likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,important,most important,not important,not important,most important,somewhat important,somewhat important,most important,most important,married student housing,Neutral,Pay more,Yes,No,Bus,,"think of the need for family locations to live i.e. plans where those with children or partneers can also live.  A room specifically designed as an office would be wonderful.  Full kitchens, sound proofing and high speed internet.  I do not have children but child care/after school programming would be brillent and really encourage single parents to consider on campus living.  To everyone else take into account cost while a more expensive location for graduate students who are just here for a summer session might be feasible most graduate students I know do not live in the ""fancy apartments"" like Grove, Dominion etc. low cost is key.  Consider if the student works on campus taking rent out of their checks and make it where the student pays monthly (with a semester contract) instead of all rent up frount at start of semester."
2371517040,46 or older,Female,Master’s,,No,No,Single-family house,,More than 3 bedrooms,"$1,000 or more",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,not important,not important,not important,not important,not important,not important,,Unlikely,,,,,,
2371517067,26 to 35,Male,Doctoral,,Yes,Yes,Duplex,,2 bedrooms,$600 to $800,Yes,Not likely at all,,1 bedroom apt,,,,,not important,not important,somewhat important,most important,most important,somewhat important,most important,somewhat important,most important,"A location to store my hunting gear, rifles, and pistols",Neutral,Pay less,Yes,No,Bike,,Spend funds to reduce sound transmission so those who desire to play music and can do so without disturbing other.
2371517106,21 to 25,Female,Master’s,,Yes,No,Apartment,,2 bedrooms,$600 to $800,No,Not likely at all,Studio/efficiency,1 bedroom apt,,,,,not important,not important,important,most important,most important,most important,somewhat important,somewhat important,not important,,Neutral,Pay about the same,Yes,Yes,Walk,"combination: walk, bus, and car",must have a kitchen area.
2371517127,26 to 35,Male,Doctoral,,Yes,No,Other (please specify),Own house,3 bedrooms,$600 to $800,Yes,Very likely,,1 bedroom apt,,,,,not important,not important,not important,not important,most important,most important,not important,somewhat important,most important,"Full kitchen facilities [sink, refigerator, oven] NO REQUIREMENT of meal plan",Neutral,Pay less,Yes,Yes,,Motorcycle,"Provide a REAL kitchen facilities in apartments -- ie: Decent sized sink, oven/stove. Provide enough room in apartment for a sleeping area and a working area -- enough space for a decent desk and book shelf."
2371517411,26 to 35,Male,Doctoral,,Yes,No,Apartment,,1 bedroom,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,,not important,most important,most important,not important,somewhat important,not important,not important,,Unlikely,Pay more,Yes,Yes,Bike,,Look at the University of Wisconsin's Eagle Heights as a template.     http://www.housing.wisc.edu/eagleheights
2371517416,26 to 35,Female,Graduate Non-Degree (GTMP),,No,No,Apartment,,1 bedroom,$600 to $800,Yes,Not likely at all,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,somewhat important,somewhat important,somewhat important,somewhat important,important,somewhat important,somewhat important,important,not important,,Unlikely,Pay more,Yes,No,Car,,I think international students are going to be the ones who take advantage of this most!
2371517563,26 to 35,Female,Doctoral,,Yes,Yes,Single-family house,,More than 3 bedrooms,$400 to $600,Yes,Very likely,,1 bedroom apt,,,,,somewhat important,somewhat important,not important,important,most important,important,somewhat important,not important,,,Neutral,Pay about the same,Yes,No,Walk,,"Some rooms (or a wing of the building) need to be adequate for whole families. The walls between units MUST be sound-proof. Multi-person units must have fairly sound-proof bedrooms, as well."
2371517623,26 to 35,Male,Master’s,,No,No,Single-family house,,More than 3 bedrooms,"$1,000 or more",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,important,somewhat important,somewhat important,somewhat important,not important,,,Unlikely,,No,No,Walk,,Have rooms available for Weekblock and Weekend program Students.
2371517625,21 to 25,Female,Master’s,,Yes,Yes,Apartment,,1 bedroom,,Yes,Likely,,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,not important,not important,most important,most important,most important,important,most important,most important,,,Likely,Pay less,Yes,No,Walk,,"Private, soundproof rooms with study areas and potentially a computer lab. A coffee/snack station would be used frequently."
2371517744,26 to 35,Male,Master’s,,No,Yes,Duplex,,2 bedrooms,"$800 to $1,000",,,,,,,,,,,,,,,,,,,,,,,,,
2371517859,26 to 35,Female,Master’s,,Yes,No,Apartment,,1 bedroom,$400 to $600,No,Not likely at all,,1 bedroom apt,,,,,not important,not important,not important,most important,most important,most important,not important,not important,,,Neutral,Pay less,Yes,No,Walk,,Insulated walls to drown out noise. Individual apartments.
2371517974,26 to 35,Male,Doctoral,,Yes,No,Apartment,,1 bedroom,$600 to $800,Yes,Likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,somewhat important,somewhat important,not important,important,important,most important,most important,important,,,Likely,Pay less,Yes,No,Bike,,A research lab or computer room with various research and statistical software would be a great addition.
2371518118,21 to 25,Female,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$600 to $800,Yes,Very likely,,1 bedroom apt,,,,,somewhat important,most important,important,somewhat important,most important,most important,most important,important,,"Laundry, tv,",Likely,Pay less,Yes,No,Bike,,Play area
2371518299,26 to 35,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Not likely at all,,,,,I am not interested in on-campus housing,,important,somewhat important,not important,important,important,somewhat important,not important,important,,,Unlikely,Pay less,Yes,No,Bike,,
2371518451,26 to 35,Female,Doctoral,,Yes,No,Apartment,,Studio / Efficiency,$400 to $600,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,not important,not important,important,most important,most important,important,somewhat important,,,Likely,Pay less,Yes,No,Bus,,
2371518507,26 to 35,Female,Doctoral,,Yes,No,Apartment,,2 bedrooms,$400 to $600,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,somewhat important,,somewhat important,important,most important,not important,important,important,,,Likely,Pay less,Yes,No,Car,,
2371518529,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Likely,,1 bedroom apt,,,,,,important,important,not important,most important,not important,most important,most important,,,Likely,Pay less,No,No,Walk,,
2371518649,21 to 25,Male,Master’s,,Yes,No,Apartment,,2 bedrooms,Less than $400,No,Not likely at all,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,I am not interested in on-campus housing,,not important,not important,not important,important,most important,most important,not important,somewhat important,,,Unlikely,Pay about the same,Yes,No,Bike,,
2371518738,21 to 25,Female,Master’s,,Yes,No,Apartment,,More than 3 bedrooms,$400 to $600,Yes,Very likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,somewhat important,somewhat important,important,important,most important,somewhat important,important,important,,,Likely,Pay less,Yes,No,Bus,,
2371518756,21 to 25,Female,Master’s,,Yes,Yes,Apartment,,2 bedrooms,$400 to $600,Yes,Likely,,1 bedroom apt,,,,,not important,not important,somewhat important,most important,most important,most important,somewhat important,somewhat important,most important,Distance away from undergraduate housing,Neutral,Pay about the same,Yes,Yes,Walk,,Built in book shelves.
2371519064,21 to 25,Female,Master’s,,Yes,No,Apartment,,More than 3 bedrooms,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,somewhat important,not important,important,important,somewhat important,important,somewhat important,important,,,Unlikely,Pay less,Yes,No,Bus,,
2371519340,26 to 35,Female,Doctoral,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Not likely at all,Studio/efficiency,1 bedroom apt,,,,,somewhat important,somewhat important,somewhat important,important,most important,most important,not important,most important,most important,On or close to campus with adequate partking,Neutral,Pay less,Yes,No,Bus,,Build to suit adult needs instead of teenager needs.  Graduate students generally have a more mature nature and will take care of things better than undergrads.  Movable furniture is a must!
2371519348,21 to 25,Female,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Very likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,most important,important,most important,somewhat important,most important,most important,most important,important,,,Likely,Pay about the same,Yes,No,Walk,,
2371519381,21 to 25,Male,Master’s,,Yes,No,Single-family house,,More than 3 bedrooms,$400 to $600,Yes,Very likely,Studio/efficiency,,,3 bedroom apt with shared bathroom,,,not important,not important,most important,important,important,most important,important,important,most important,Computer Lab/ Study Space,Likely,Pay less,No,No,Bus,,"Make it similar to apartment living like tose located in Overton, Resort style living with the option to bring Alcohol into your apartment if desired.  The facilities are for Adults and thus we should be treated like adults."
2371519399,26 to 35,Female,Doctoral,,Yes,Yes,Apartment,,2 bedrooms,Less than $400,Yes,Very likely,,,2 bedroom apt with shared bathroom,,,,somewhat important,important,not important,most important,most important,somewhat important,somewhat important,not important,most important,full size kitchen,Likely,Pay about the same,No,No,Bike,,"A full size kitchen is a must. Also, I hope there is a well maintained computer room."
2371519641,21 to 25,Female,Master’s,,Yes,Yes,I currently live in on-campus housing,,1 bedroom,Less than $400,,,,,,,,,,,,,,,,,,,,,,,,,
2371519735,26 to 35,Male,Doctoral,,Yes,No,Apartment,,1 bedroom,$400 to $600,Yes,Likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,,,,not important,important,important,most important,most important,most important,most important,not important,most important,Distance from rec center,Likely,Pay less,Yes,No,Bus,,
2371519836,26 to 35,Male,Doctoral,,No,Yes,Townhouse,,3 bedrooms,"$1,000 or more",Yes,Not likely at all,,,,,I am not interested in on-campus housing,,important,important,not important,somewhat important,important,important,important,important,,,Unlikely,Pay less,No,No,Walk,Segway,Offer Segway parking
2371519927,21 to 25,Female,Master’s,,Yes,No,Apartment,,2 bedrooms,Less than $400,Yes,Somewhat likely,,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,somewhat important,somewhat important,somewhat important,most important,most important,most important,important,most important,most important,"study areas, low cost",Likely,Pay about the same,No,No,Walk,,"a little more out of the way of the normal campus traffic, plenty of study rooms available and places for groups to meet, plenty of parking, open all year round"
2371519994,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,Less than $400,Yes,Somewhat likely,Studio/efficiency,,,,,,not important,somewhat important,somewhat important,not important,most important,somewhat important,important,most important,not important,,Neutral,Pay less,No,No,Bus,,"Since Grad students works till night, authority should accommodate students to facilitate keep this thing in mind."
2371520042,21 to 25,Male,Master’s,,Yes,No,I currently live in on-campus housing,,Studio / Efficiency,$400 to $600,Yes,I currently live in on-campus housing,Studio/efficiency,1 bedroom apt,,,,,somewhat important,somewhat important,important,important,most important,important,important,somewhat important,most important,A large parking lot and/or a stop on the citibus routes,Likely,Pay about the same,No,No,Bus,,Make it similar in style to the current apartment/suite halls such as Boston.
2371520055,26 to 35,Male,Doctoral,,Yes,No,Apartment,,2 bedrooms,$600 to $800,Yes,Likely,,,2 bedroom apt with shared bathroom,,,,not important,not important,not important,most important,most important,most important,somewhat important,not important,,,Likely,Pay less,Yes,Yes,Bike,,
2371520071,21 to 25,Female,Master’s,,Yes,No,Apartment,,2 bedrooms,"$800 to $1,000",No,Not likely at all,,,,,,Any number of bedrooms with no shared bathrooms.,not important,not important,somewhat important,most important,most important,most important,important,important,,,Neutral,Pay less,Yes,No,Car,,"Thicker/more sound proof walls, good wifi reception, computer lab with printing, grocery area is important. Allow for more privacy."
2371520136,46 or older,Male,Master’s,,No,No,Single-family house,,3 bedrooms,"$1,000 or more",No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,somewhat important,somewhat important,not important,somewhat important,somewhat important,somewhat important,most important,not important,,Unlikely,Pay less,Yes,Yes,Walk,,
2371520274,46 or older,Female,Master’s,,Yes,No,Single-family house,,3 bedrooms,"$1,000 or more",Yes,Very likely,,1 bedroom apt,,,,,not important,not important,not important,somewhat important,important,most important,important,important,,,Likely,Pay less,Yes,Yes,Walk,,"No children, a nice courtyard and outdoor space, an area to study"
2371520276,21 to 25,Female,Master’s,,Yes,No,Townhouse,,2 bedrooms,$600 to $800,No,Not likely at all,,,,,I am not interested in on-campus housing,,not important,not important,not important,not important,not important,not important,not important,not important,not important,,Unlikely,Pay less,Yes,No,Walk,,
2371520339,26 to 35,Male,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$400 to $600,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,,,,,not important,most important,important,not important,most important,important,important,important,,,Neutral,Pay less,No,Yes,Bus,,
2371520363,21 to 25,,Master’s,,Yes,No,Single-family house,,3 bedrooms,Less than $400,Yes,Somewhat likely,Studio/efficiency,1 bedroom apt,2 bedroom apt with shared bathroom,3 bedroom apt with shared bathroom,,,somewhat important,not important,somewhat important,important,most important,important,important,important,,,Neutral,Pay about the same,Yes,No,Walk,,
2371520497,26 to 35,Female,Master’s,,Yes,Yes,Duplex,,3 bedrooms,$400 to $600,Yes,Very likely,Studio/efficiency,,,,,,not important,not important,not important,not important,most important,important,most important,not important,,,Likely,Pay less,No,No,Walk,,
2371520543,26 to 35,Female,Doctoral,,Yes,Yes,Apartment,,1 bedroom,Less than $400,Yes,Very likely,Studio/efficiency,1 bedroom apt,,,,,important,somewhat important,somewhat important,not important,most important,somewhat important,somewhat important,important,most important,security,Likely,Pay about the same,No,No,Car,,
2371520817,21 to 25,Female,Master’s,,Yes,Yes,Apartment,,2 bedrooms,$600 to $800,Yes,Somewhat likely,,1 bedroom apt,2 bedroom apt with shared bathroom,,,,somewhat important,not important,somewhat important,not important,most important,most important,important,important,not important,,Likely,Pay about the same,Yes,No,Walk,,
2371520840,26 to 35,Female,Doctoral,,Yes,Yes,Apartment,,1 bedroom,$600 to $800,Yes,Somewhat likely,,1 bedroom apt,,,,,somewhat important,somewhat important,somewhat important,not important,most important,somewhat important,somewhat important,somewhat important,,,Likely,Pay less,Yes,Yes,Walk,,It is good if they build apartments with thick walls that if one apartment is listening music do not disturb others.
2371520936,26 to 35,Male,Doctoral,,Yes,No,Single-family house,,3 bedrooms,$400 to $600,No,Somewhat likely,,1 bedroom apt,,,I am not interested in on-campus housing,,not important,not important,not important,important,most important,important,important,not important,not important,,Unlikely,Pay more,Yes,No,Walk,,"If built, focus should be placed on noise reduction between units, and making sure each unit has a place to work (e.g., desk, storage, etc)."
